,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
4850,public,2020-12-22,,ELEC,159368,,,E,LEASING 1885,2020-12-22T00:25:38Z,,GPS,Corona,CA,Imperia Dr,92882,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:599721'], 'ports': ['1']}",,,,,,-117.5925366,33.8628011
4851,public,2020-12-22,,ELEC,159369,,,E,LEASING 1885,2020-12-22T00:25:38Z,,GPS,Corona,CA,1835 San Remo Dr,92882,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:599711'], 'ports': ['1']}",,,,,,-117.5929656,33.8628038
4852,public,2020-12-22,,ELEC,159370,,,E,93 NORTH,2020-12-22T00:25:38Z,,200-8,Salinas,CA,67 Castro St,93906,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:399311', '1:598031'], 'ports': ['1', '2']}",,,,,,-121.657386,36.722858
4853,public,2020-12-22,,ELEC,159371,,,E,FACEBOOK,2020-12-22T00:25:38Z,,200-8,Menlo Park,CA,17 Hacker Way,94025,US,['J1772'],,,22.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:587181', '1:591051', '1:591401', '1:591411', '1:591421', '1:591481', '1:591491', '1:591501', '1:591541', '1:591551', '1:596831'], 'ports': ['1', '2']}",,,,,,-122.147562,37.483161
4854,public,2020-12-22,,ELEC,159372,,,E,THE RESERVE,2020-12-22T00:25:38Z,,200-8,Oxnard,CA,3851 Harbour Island Ln,93035,US,['J1772'],,,10.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:468781', '1:468821', '1:469051', '1:513481', '1:595771'], 'ports': ['1', '2']}",,,,,,-119.222231,34.183332
4855,public,2020-12-22,,ELEC,159373,,,E,LOCUST STREET G,2020-12-22T00:25:38Z,,200-9,Inglewood,CA,117 S Locust St,90301,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:590341', '1:590391'], 'ports': ['1', '2']}",,,,,,-118.35081,33.962351
4856,public,2020-12-22,,ELEC,159374,,,E,UCSD,2020-12-22T00:25:38Z,,GPS,San Diego,CA,270 Muir Ln,92161,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.15 per kWh,,"{'posts': ['1:589431'], 'ports': ['1', '2']}",,,,,,-117.2398866,32.8793046
4857,public,2020-12-22,,ELEC,159375,,,E,UCSD,2020-12-22T00:25:38Z,,GPS,San Diego,CA,8645 Kennel Way,92037,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.15 per kWh,,"{'posts': ['1:588881'], 'ports': ['1', '2']}",,,,,,-117.2536346,32.8654924
4858,public,2020-12-22,,ELEC,159376,,,E,MANTECA TRANSIT,2020-12-22T00:25:38Z,,GPS,Manteca,CA,220 Moffat Blvd,95336,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:588161'], 'ports': ['1', '2']}",,,,,,-121.2148774,37.794627
4859,public,2020-12-22,,ELEC,159377,,,E,DC SOLAR,2020-12-22T00:25:38Z,,GPS,Benicia,CA,4661 Park Rd,94510,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:587191'], 'ports': ['1', '2']}",,,,,,-122.1207884,38.0779991
